,model,dataset,trial,run,score,performance_measure,regularization,n_train
170,hdpgmm,gtzan,0,4,0.6249171124037716,f1_score_macro,0.1,2k
171,hdpgmm,gtzan,0,4,0.6249171124037716,f1_score_macro,0.1,2k
172,hdpgmm,gtzan,0,4,0.6249171124037716,f1_score_macro,0.1,2k
173,hdpgmm,gtzan,0,4,0.6249171124037716,f1_score_macro,0.1,2k
174,hdpgmm,gtzan,0,4,0.6249171124037716,f1_score_macro,0.1,2k
175,hdpgmm,gtzan,0,4,0.643021897251979,f1_score_macro,0.1,2k
176,hdpgmm,gtzan,0,4,0.643021897251979,f1_score_macro,0.1,2k
177,hdpgmm,gtzan,0,4,0.643021897251979,f1_score_macro,0.1,2k
178,hdpgmm,gtzan,0,4,0.643021897251979,f1_score_macro,0.1,2k
179,hdpgmm,gtzan,0,4,0.643021897251979,f1_score_macro,0.1,2k
180,hdpgmm,gtzan,1,4,0.6084338480259567,f1_score_macro,0.1,2k
181,hdpgmm,gtzan,1,4,0.6084338480259567,f1_score_macro,0.1,2k
182,hdpgmm,gtzan,1,4,0.6084338480259567,f1_score_macro,0.1,2k
183,hdpgmm,gtzan,1,4,0.6084338480259567,f1_score_macro,0.1,2k
184,hdpgmm,gtzan,1,4,0.6084338480259567,f1_score_macro,0.1,2k
185,hdpgmm,gtzan,1,4,0.6462646320313145,f1_score_macro,0.1,2k
186,hdpgmm,gtzan,1,4,0.6462646320313145,f1_score_macro,0.1,2k
187,hdpgmm,gtzan,1,4,0.6462646320313145,f1_score_macro,0.1,2k
188,hdpgmm,gtzan,1,4,0.6462646320313145,f1_score_macro,0.1,2k
189,hdpgmm,gtzan,1,4,0.6462646320313145,f1_score_macro,0.1,2k
190,hdpgmm,gtzan,1,4,0.6174912707401352,f1_score_macro,0.1,2k
191,hdpgmm,gtzan,1,4,0.6174912707401352,f1_score_macro,0.1,2k
192,hdpgmm,gtzan,1,4,0.6174912707401352,f1_score_macro,0.1,2k
193,hdpgmm,gtzan,1,4,0.6174912707401352,f1_score_macro,0.1,2k
194,hdpgmm,gtzan,1,4,0.6174912707401352,f1_score_macro,0.1,2k
195,hdpgmm,gtzan,1,4,0.6082307772433613,f1_score_macro,0.1,2k
196,hdpgmm,gtzan,1,4,0.6082307772433613,f1_score_macro,0.1,2k
197,hdpgmm,gtzan,1,4,0.6082307772433613,f1_score_macro,0.1,2k
198,hdpgmm,gtzan,1,4,0.6082307772433613,f1_score_macro,0.1,2k
199,hdpgmm,gtzan,1,4,0.6082307772433613,f1_score_macro,0.1,2k
200,hdpgmm,gtzan,1,4,0.5878108751370481,f1_score_macro,0.1,2k
201,hdpgmm,gtzan,1,4,0.5878108751370481,f1_score_macro,0.1,2k
202,hdpgmm,gtzan,1,4,0.5878108751370481,f1_score_macro,0.1,2k
203,hdpgmm,gtzan,1,4,0.5878108751370481,f1_score_macro,0.1,2k
204,hdpgmm,gtzan,1,4,0.5878108751370481,f1_score_macro,0.1,2k
205,hdpgmm,gtzan,2,4,0.5995275123919357,f1_score_macro,0.1,2k
206,hdpgmm,gtzan,2,4,0.5995275123919357,f1_score_macro,0.1,2k
207,hdpgmm,gtzan,2,4,0.5995275123919357,f1_score_macro,0.1,2k
208,hdpgmm,gtzan,2,4,0.5995275123919357,f1_score_macro,0.1,2k
209,hdpgmm,gtzan,2,4,0.5995275123919357,f1_score_macro,0.1,2k
210,hdpgmm,gtzan,2,4,0.585295635461862,f1_score_macro,0.1,2k
211,hdpgmm,gtzan,2,4,0.585295635461862,f1_score_macro,0.1,2k
212,hdpgmm,gtzan,2,4,0.585295635461862,f1_score_macro,0.1,2k
213,hdpgmm,gtzan,2,4,0.585295635461862,f1_score_macro,0.1,2k
214,hdpgmm,gtzan,2,4,0.585295635461862,f1_score_macro,0.1,2k
215,hdpgmm,gtzan,2,4,0.6448087146669639,f1_score_macro,0.1,2k
216,hdpgmm,gtzan,2,4,0.6448087146669639,f1_score_macro,0.1,2k
217,hdpgmm,gtzan,2,4,0.6448087146669639,f1_score_macro,0.1,2k
218,hdpgmm,gtzan,2,4,0.6448087146669639,f1_score_macro,0.1,2k
219,hdpgmm,gtzan,2,4,0.6448087146669639,f1_score_macro,0.1,2k
220,hdpgmm,gtzan,2,4,0.5734503900215411,f1_score_macro,0.1,2k
221,hdpgmm,gtzan,2,4,0.5734503900215411,f1_score_macro,0.1,2k
222,hdpgmm,gtzan,2,4,0.5734503900215411,f1_score_macro,0.1,2k
223,hdpgmm,gtzan,2,4,0.5734503900215411,f1_score_macro,0.1,2k
224,hdpgmm,gtzan,2,4,0.5734503900215411,f1_score_macro,0.1,2k
225,hdpgmm,gtzan,2,4,0.6178946811354761,f1_score_macro,0.1,2k
226,hdpgmm,gtzan,2,4,0.6178946811354761,f1_score_macro,0.1,2k
227,hdpgmm,gtzan,2,4,0.6178946811354761,f1_score_macro,0.1,2k
228,hdpgmm,gtzan,2,4,0.6178946811354761,f1_score_macro,0.1,2k
229,hdpgmm,gtzan,2,4,0.6178946811354761,f1_score_macro,0.1,2k
230,hdpgmm,gtzan,0,4,0.6259383489103036,f1_score_macro,0.1,20k
231,hdpgmm,gtzan,0,4,0.6259383489103036,f1_score_macro,0.1,20k
232,hdpgmm,gtzan,0,4,0.6259383489103036,f1_score_macro,0.1,20k
233,hdpgmm,gtzan,0,4,0.6259383489103036,f1_score_macro,0.1,20k
234,hdpgmm,gtzan,0,4,0.6259383489103036,f1_score_macro,0.1,20k
235,hdpgmm,gtzan,0,4,0.6300153030625285,f1_score_macro,0.1,20k
236,hdpgmm,gtzan,0,4,0.6300153030625285,f1_score_macro,0.1,20k
237,hdpgmm,gtzan,0,4,0.6300153030625285,f1_score_macro,0.1,20k
238,hdpgmm,gtzan,0,4,0.6300153030625285,f1_score_macro,0.1,20k
239,hdpgmm,gtzan,0,4,0.6300153030625285,f1_score_macro,0.1,20k
240,hdpgmm,gtzan,0,4,0.6176333762070919,f1_score_macro,0.1,20k
241,hdpgmm,gtzan,0,4,0.6176333762070919,f1_score_macro,0.1,20k
242,hdpgmm,gtzan,0,4,0.6176333762070919,f1_score_macro,0.1,20k
243,hdpgmm,gtzan,0,4,0.6176333762070919,f1_score_macro,0.1,20k
244,hdpgmm,gtzan,0,4,0.6176333762070919,f1_score_macro,0.1,20k
245,hdpgmm,gtzan,0,4,0.6343565466086032,f1_score_macro,0.1,20k
246,hdpgmm,gtzan,0,4,0.6343565466086032,f1_score_macro,0.1,20k
247,hdpgmm,gtzan,0,4,0.6343565466086032,f1_score_macro,0.1,20k
248,hdpgmm,gtzan,0,4,0.6343565466086032,f1_score_macro,0.1,20k
249,hdpgmm,gtzan,0,4,0.6343565466086032,f1_score_macro,0.1,20k
250,hdpgmm,gtzan,0,4,0.6105359580640142,f1_score_macro,0.1,20k
251,hdpgmm,gtzan,0,4,0.6105359580640142,f1_score_macro,0.1,20k
252,hdpgmm,gtzan,0,4,0.6105359580640142,f1_score_macro,0.1,20k
253,hdpgmm,gtzan,0,4,0.6105359580640142,f1_score_macro,0.1,20k
254,hdpgmm,gtzan,0,4,0.6105359580640142,f1_score_macro,0.1,20k
255,hdpgmm,gtzan,1,4,0.5968496298158479,f1_score_macro,0.1,20k
256,hdpgmm,gtzan,1,4,0.5968496298158479,f1_score_macro,0.1,20k
257,hdpgmm,gtzan,1,4,0.5968496298158479,f1_score_macro,0.1,20k
258,hdpgmm,gtzan,1,4,0.5968496298158479,f1_score_macro,0.1,20k
259,hdpgmm,gtzan,1,4,0.5968496298158479,f1_score_macro,0.1,20k
260,hdpgmm,gtzan,1,4,0.6084377794890035,f1_score_macro,0.1,20k
261,hdpgmm,gtzan,1,4,0.6084377794890035,f1_score_macro,0.1,20k
262,hdpgmm,gtzan,1,4,0.6084377794890035,f1_score_macro,0.1,20k
263,hdpgmm,gtzan,1,4,0.6084377794890035,f1_score_macro,0.1,20k
264,hdpgmm,gtzan,1,4,0.6084377794890035,f1_score_macro,0.1,20k
265,hdpgmm,gtzan,1,4,0.6291325578739646,f1_score_macro,0.1,20k
266,hdpgmm,gtzan,1,4,0.6291325578739646,f1_score_macro,0.1,20k
267,hdpgmm,gtzan,1,4,0.6291325578739646,f1_score_macro,0.1,20k
268,hdpgmm,gtzan,1,4,0.6291325578739646,f1_score_macro,0.1,20k
269,hdpgmm,gtzan,1,4,0.6291325578739646,f1_score_macro,0.1,20k
270,hdpgmm,gtzan,1,4,0.6546614635237388,f1_score_macro,0.1,20k
271,hdpgmm,gtzan,1,4,0.6546614635237388,f1_score_macro,0.1,20k
272,hdpgmm,gtzan,1,4,0.6546614635237388,f1_score_macro,0.1,20k
273,hdpgmm,gtzan,1,4,0.6546614635237388,f1_score_macro,0.1,20k
274,hdpgmm,gtzan,1,4,0.6546614635237388,f1_score_macro,0.1,20k
275,hdpgmm,gtzan,1,4,0.6287212252511093,f1_score_macro,0.1,20k
276,hdpgmm,gtzan,1,4,0.6287212252511093,f1_score_macro,0.1,20k
277,hdpgmm,gtzan,1,4,0.6287212252511093,f1_score_macro,0.1,20k
278,hdpgmm,gtzan,1,4,0.6287212252511093,f1_score_macro,0.1,20k
279,hdpgmm,gtzan,1,4,0.6287212252511093,f1_score_macro,0.1,20k
280,hdpgmm,gtzan,2,4,0.6054524882362865,f1_score_macro,0.1,20k
281,hdpgmm,gtzan,2,4,0.6054524882362865,f1_score_macro,0.1,20k
282,hdpgmm,gtzan,2,4,0.6054524882362865,f1_score_macro,0.1,20k
283,hdpgmm,gtzan,2,4,0.6054524882362865,f1_score_macro,0.1,20k
284,hdpgmm,gtzan,2,4,0.6054524882362865,f1_score_macro,0.1,20k
285,hdpgmm,gtzan,2,4,0.6065330195419464,f1_score_macro,0.1,20k
286,hdpgmm,gtzan,2,4,0.6065330195419464,f1_score_macro,0.1,20k
287,hdpgmm,gtzan,2,4,0.6065330195419464,f1_score_macro,0.1,20k
288,hdpgmm,gtzan,2,4,0.6065330195419464,f1_score_macro,0.1,20k
289,hdpgmm,gtzan,2,4,0.6065330195419464,f1_score_macro,0.1,20k
290,hdpgmm,gtzan,2,4,0.643051614614352,f1_score_macro,0.1,20k
291,hdpgmm,gtzan,2,4,0.643051614614352,f1_score_macro,0.1,20k
292,hdpgmm,gtzan,2,4,0.643051614614352,f1_score_macro,0.1,20k
293,hdpgmm,gtzan,2,4,0.643051614614352,f1_score_macro,0.1,20k
294,hdpgmm,gtzan,2,4,0.643051614614352,f1_score_macro,0.1,20k
295,hdpgmm,gtzan,2,4,0.613517488733548,f1_score_macro,0.1,20k
296,hdpgmm,gtzan,2,4,0.613517488733548,f1_score_macro,0.1,20k
297,hdpgmm,gtzan,2,4,0.613517488733548,f1_score_macro,0.1,20k
298,hdpgmm,gtzan,2,4,0.613517488733548,f1_score_macro,0.1,20k
299,hdpgmm,gtzan,2,4,0.613517488733548,f1_score_macro,0.1,20k
300,hdpgmm,gtzan,2,4,0.6227490871416999,f1_score_macro,0.1,20k
301,hdpgmm,gtzan,2,4,0.6227490871416999,f1_score_macro,0.1,20k
302,hdpgmm,gtzan,2,4,0.6227490871416999,f1_score_macro,0.1,20k
303,hdpgmm,gtzan,2,4,0.6227490871416999,f1_score_macro,0.1,20k
304,hdpgmm,gtzan,2,4,0.6227490871416999,f1_score_macro,0.1,20k
305,clmr256,gtzan,0,4,0.6681452150780167,f1_score_macro,,
306,clmr256,gtzan,0,4,0.6681452150780167,f1_score_macro,,
307,clmr256,gtzan,0,4,0.6681452150780167,f1_score_macro,,
308,clmr256,gtzan,0,4,0.6681452150780167,f1_score_macro,,
309,clmr256,gtzan,0,4,0.6681452150780167,f1_score_macro,,
310,hdpgmm,echonest,2,4,0.021726613481648865,ndcg@500,0.01,200k
311,hdpgmm,echonest,2,4,0.021726613481648865,ndcg@500,0.01,200k
312,hdpgmm,echonest,2,4,0.021726613481648865,ndcg@500,0.01,200k
313,hdpgmm,echonest,2,4,0.021726613481648865,ndcg@500,0.01,200k
314,hdpgmm,echonest,2,4,0.021726613481648865,ndcg@500,0.01,200k
315,hdpgmm,echonest,2,4,0.016714438408684335,ndcg@500,0.0001,200k
316,hdpgmm,echonest,2,4,0.016714438408684335,ndcg@500,0.0001,200k
317,hdpgmm,echonest,2,4,0.016714438408684335,ndcg@500,0.0001,200k
318,hdpgmm,echonest,2,4,0.016714438408684335,ndcg@500,0.0001,200k
319,hdpgmm,echonest,2,4,0.016714438408684335,ndcg@500,0.0001,200k
320,hdpgmm,echonest,2,4,0.01860690319227202,ndcg@500,0.001,200k
321,hdpgmm,echonest,2,4,0.01860690319227202,ndcg@500,0.001,200k
322,hdpgmm,echonest,2,4,0.01860690319227202,ndcg@500,0.001,200k
323,hdpgmm,echonest,2,4,0.01860690319227202,ndcg@500,0.001,200k
324,hdpgmm,echonest,2,4,0.01860690319227202,ndcg@500,0.001,200k
325,hdpgmm,echonest,2,4,0.02190509810086168,ndcg@500,0.1,200k
326,hdpgmm,echonest,2,4,0.02190509810086168,ndcg@500,0.1,200k
327,hdpgmm,echonest,2,4,0.02190509810086168,ndcg@500,0.1,200k
328,hdpgmm,echonest,2,4,0.02190509810086168,ndcg@500,0.1,200k
329,hdpgmm,echonest,2,4,0.02190509810086168,ndcg@500,0.1,200k
330,hdpgmm,echonest,0,4,0.02259230001105422,ndcg@500,0.01,200k
331,hdpgmm,echonest,0,4,0.02259230001105422,ndcg@500,0.01,200k
332,hdpgmm,echonest,0,4,0.02259230001105422,ndcg@500,0.01,200k
333,hdpgmm,echonest,0,4,0.02259230001105422,ndcg@500,0.01,200k
334,hdpgmm,echonest,0,4,0.02259230001105422,ndcg@500,0.01,200k
335,hdpgmm,echonest,0,4,0.01776644082704368,ndcg@500,0.0001,200k
336,hdpgmm,echonest,0,4,0.01776644082704368,ndcg@500,0.0001,200k
337,hdpgmm,echonest,0,4,0.01776644082704368,ndcg@500,0.0001,200k
338,hdpgmm,echonest,0,4,0.01776644082704368,ndcg@500,0.0001,200k
339,hdpgmm,echonest,0,4,0.01776644082704368,ndcg@500,0.0001,200k
340,hdpgmm,echonest,0,4,0.017921465147432,ndcg@500,0.001,200k
341,hdpgmm,echonest,0,4,0.017921465147432,ndcg@500,0.001,200k
342,hdpgmm,echonest,0,4,0.017921465147432,ndcg@500,0.001,200k
343,hdpgmm,echonest,0,4,0.017921465147432,ndcg@500,0.001,200k
344,hdpgmm,echonest,0,4,0.017921465147432,ndcg@500,0.001,200k
345,hdpgmm,echonest,0,4,0.022876946528078337,ndcg@500,0.1,200k
346,hdpgmm,echonest,0,4,0.022876946528078337,ndcg@500,0.1,200k
